0,1992,Summer,1992 Summer,Barcelona
1,2012,Summer,2012 Summer,London
2,1920,Summer,1920 Summer,Antwerpen
3,1900,Summer,1900 Summer,Paris
4,1988,Winter,1988 Winter,Calgary
5,1992,Winter,1992 Winter,Albertville
6,1994,Winter,1994 Winter,Lillehammer
7,1932,Summer,1932 Summer,Los Angeles
8,2002,Winter,2002 Winter,Salt Lake City
9,1952,Summer,1952 Summer,Helsinki
10,1980,Winter,1980 Winter,Lake Placid
11,2000,Summer,2000 Summer,Sydney
12,1996,Summer,1996 Summer,Atlanta
13,1912,Summer,1912 Summer,Stockholm
14,1924,Summer,1924 Summer,Paris
15,2014,Winter,2014 Winter,Sochi
16,1948,Summer,1948 Summer,London
17,1998,Winter,1998 Winter,Nagano
18,2006,Winter,2006 Winter,Torino
19,2008,Summer,2008 Summer,Beijing
20,2016,Summer,2016 Summer,Rio de Janeiro
21,2004,Summer,2004 Summer,Athina
22,1960,Winter,1960 Winter,Squaw Valley
23,1964,Winter,1964 Winter,Innsbruck
24,1984,Winter,1984 Winter,Sarajevo
25,1968,Summer,1968 Summer,Mexico City
26,1972,Summer,1972 Summer,Munich
27,1936,Summer,1936 Summer,Berlin
28,1956,Winter,1956 Winter,Cortina d'Ampezzo
29,1928,Summer,1928 Summer,Amsterdam
30,1976,Summer,1976 Summer,Montreal
31,2010,Winter,2010 Winter,Vancouver
32,1906,Summer,1906 Summer,Athina
33,1904,Summer,1904 Summer,St. Louis
34,1908,Summer,1908 Summer,London
35,1896,Summer,1896 Summer,Athina
